name,ml_current,ml_current_prob,ml_open_dk,ml_open_prob,ml_win_by_ko,ml_win_by_sub,ml_win_by_dec,ml_draftkings,ml_fanduel,ml_betmgm,ml_win_by_ko_price,ml_win_by_sub_price,ml_win_by_dec_price,snapshot_ts,mov_dec_fanduel,mov_sub_fanduel,mov_sub_draftkings,mov_ko_fanduel,mov_ko_draftkings,mov_dec_draftkings,mov_ko_betmgm,mov_finish_betmgm,mov_dec_betmgm,mov_sub_betmgm
Alberto Montes,130.0,0.4348,-110.0,0.5238,0.1333,0.2439,0.1176,130,118,125.0,650.0,310.0,750.0,2026-07-16 15:34 CDT,750,310,275,650,650,600,650.0,175.0,600.0,275.0
Alden Coria,-1100.0,0.9167,-1000.0,0.9091,0.3846,0.3125,0.2941,-1100,-1200,-1200.0,160.0,220.0,240.0,2026-07-15 16:10 CDT,240,220,200,160,140,230,125.0,-220.0,225.0,200.0
Alvin Hines,-135.0,0.5745,,,0.3509,0.0769,0.1961,-135,-146,-145.0,185.0,1200.0,410.0,2026-07-16 13:42 CDT,410,1200,1400,185,170,330,,,,
Anna Melisano,455.0,0.1802,330.0,0.2326,0.0625,0.0588,0.0909,455,400,475.0,1500.0,1600.0,1000.0,2026-07-16 13:42 CDT,1000,1600,1600,1500,1800,850,,,,
Austin Bashi,-108.0,0.5192,-110.0,0.5238,0.0909,0.1429,0.3226,-108,-106,-105.0,1000.0,600.0,210.0,2026-07-16 12:46 CDT,210,600,450,1000,900,225,900.0,300.0,225.0,450.0
Chase Hooper,-355.0,0.7802,-305.0,0.7531,0.2174,0.3846,0.2326,-355,-390,-350.0,360.0,160.0,330.0,2026-07-15 07:11 CDT,330,160,150,360,320,300,300.0,-150.0,300.0,125.0
Christian Leroy Duncan,-360.0,0.7826,-305.0,0.7531,0.3636,0.0357,0.4348,-360,-370,,175.0,2700.0,130.0,2026-07-15 14:07 CDT,130,2700,2000,175,165,125,,,,
Dione Barbosa,-625.0,0.8621,-425.0,0.8095,0.1333,0.4878,0.2941,-625,-620,-650.0,650.0,105.0,240.0,2026-07-16 13:42 CDT,240,105,110,650,390,205,,,,
Dricus Du Plessis,-225.0,0.6923,-340.0,0.7727,0.303,0.1,0.3571,-225,-250,-250.0,230.0,900.0,180.0,2026-07-15 10:22 CDT,180,900,900,230,215,165,175.0,150.0,175.0,900.0
Fatima Kline,-485.0,0.8291,-325.0,0.7647,0.1538,0.1,0.6154,-485,-460,-500.0,550.0,900.0,-160.0,2026-07-16 13:42 CDT,-160,900,750,550,500,-175,400.0,300.0,-180.0,650.0
Felipe Franco,130.0,0.4348,160.0,0.3846,0.1724,0.1538,0.1333,130,132,135.0,480.0,550.0,650.0,2026-07-15 14:50 CDT,650,550,500,480,425,550,425.0,200.0,550.0,500.0
Jared Cannonier,285.0,0.2597,245.0,0.2899,0.125,0.0294,0.1429,285,265,300.0,700.0,3300.0,600.0,2026-07-15 08:03 CDT,600,3300,3500,700,650,550,625.0,600.0,550.0,3500.0
Jean-Paul Lebosnoyani,170.0,0.3704,190.0,0.3448,0.1111,0.0952,0.1754,170,180,170.0,800.0,950.0,470.0,2026-07-16 13:42 CDT,470,950,800,800,700,400,600.0,375.0,400.0,700.0
Jose Delgado,-112.0,0.5283,-110.0,0.5238,0.2439,0.1333,0.1961,-112,-120,,310.0,650.0,410.0,2026-07-16 13:42 CDT,410,650,600,310,225,450,,,,
Kamaru Usman,185.0,0.3509,270.0,0.2703,0.1429,0.0435,0.1923,185,190,200.0,600.0,2200.0,420.0,2026-07-15 10:22 CDT,420,2200,2500,600,600,350,600.0,550.0,350.0,2500.0
Levi Rodrigues Jr.,-155.0,0.6078,-192.0,0.6575,0.5238,0.0435,0.1053,-155,-170,-160.0,-110.0,2200.0,850.0,2026-07-16 08:42 CDT,850,2200,2000,-110,-125,750,-130.0,-135.0,750.0,2000.0
Mitch Ramirez,280.0,0.2632,245.0,0.2899,0.1667,0.0323,0.0952,280,280,275.0,500.0,3000.0,950.0,2026-07-15 10:59 CDT,950,3000,3000,500,500,900,500.0,450.0,900.0,3000.0
RJ Harris,114.0,0.4673,,,0.2083,0.1333,0.1667,114,114,120.0,380.0,650.0,500.0,2026-07-14 09:50 CDT,500,650,600,380,320,400,,,,
Seokhyeon Ko,-205.0,0.6721,-230.0,0.697,0.1887,0.1,0.4545,-205,-235,,430.0,900.0,120.0,2026-07-15 09:50 CDT,120,900,800,430,350,125,,,,
Stewart Nicoll,700.0,0.125,650.0,0.1333,0.0357,0.0476,0.0625,700,630,750.0,2700.0,2000.0,1500.0,2026-07-15 16:54 CDT,1500,2000,2000,2700,2800,1300,2800.0,1200.0,1300.0,2000.0
Tabatha Ricci,370.0,0.2128,260.0,0.2778,0.0476,0.05,0.1667,370,320,360.0,2000.0,1900.0,500.0,2026-07-15 07:37 CDT,500,1900,1800,2000,2000,500,2000.0,1000.0,500.0,1800.0
Tommy McMillen,-155.0,0.6078,-110.0,0.5238,0.25,0.2439,0.1429,-155,-150,-150.0,300.0,310.0,600.0,2026-07-16 15:34 CDT,600,310,300,300,300,500,250.0,100.0,500.0,300.0
